row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A20,,,A20,A26,B26,B26,G6,G5,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,G5,,,A20,A20,G14,G14,G5,A20,,,G5,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A26,A20,G8,B26,A20,G5,H4,H4,G5,G5,B26,G8,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,A26,A20,A20,A26,B26,H15,H4,B26,G6,A20,A20,G5,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,A26,A26,A26,A26,A26,G14,H15,H15,B26,G5,G6,G6,G6,G6,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,A26,A26,A26,A26,A20,G14,H4,H15,G14,G5,G6,G6,G6,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,A26,A26,A26,A20,M15,H4,H4,G14,G5,G6,G6,G6,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,A26,A26,A26,A20,H4,H4,H4,M15,G5,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,A26,A26,A26,G5,H4,H4,H4,H4,G5,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,G6,A26,A26,B26,H15,H4,H4,H4,G5,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,A26,A26,B26,H15,H4,H4,H4,G5,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,G8,,A20,G6,A26,B26,H15,H4,H4,H15,B26,G6,G6,G5,,G8,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,B26,G5,G6,B26,H15,H4,H4,H15,B26,G6,G5,B26,,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,G14,G8,A20,G5,B26,H15,H4,H4,H15,B26,G5,G5,G8,G14,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,B26,,A20,G5,G14,H15,H4,H4,H15,B26,G5,G5,,B26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,B26,,B26,G5,G14,H15,H4,H4,H15,B26,G5,B26,,B26,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A20,G14,,B26,G5,G14,H15,H4,H4,H15,B26,G5,B26,,G14,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,A20,,,B26,G5,G14,H15,H4,H4,H15,B26,G5,B26,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,A20,,,A20,G5,G14,H15,H4,H4,H15,B26,G5,G5,,,G5,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A20,A26,B26,B26,A20,A20,G14,H15,H4,H4,H15,B26,G5,A20,B26,B26,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A26,A26,A26,A26,A26,A20,G14,H15,H4,H4,H15,G14,G5,G6,A20,A20,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,A26,A26,A26,A26,A20,M15,H15,H4,H4,H15,G14,G5,G6,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,A26,A26,A26,A26,A20,M15,H15,H4,H4,H15,G14,G5,G6,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,A26,A26,A26,A26,A20,M15,H4,H4,H4,H15,G14,G5,G6,G6,G6,G6,G5,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G6,A26,A26,A26,A20,M15,H4,H4,H4,H15,G14,G5,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,G6,A26,A26,A20,M15,H4,H4,H4,H15,G14,G5,G6,G6,G6,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,A26,A26,A20,H4,H4,H4,H4,H15,G14,G5,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,G6,A26,A20,H4,H4,H4,H4,H15,G14,G5,G6,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,G8,,,A20,G6,A26,A20,H4,H4,H4,H4,H15,G14,G5,G5,G5,G5,,,G8,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,,B26,G5,G6,A20,H4,H4,M15,H4,H15,G14,G5,G5,G5,B26,,,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,B26,,G8,A20,G6,A20,H4,H4,H4,H4,H15,G14,G5,G5,G5,G8,,B26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,B26,,,G5,G6,A20,H4,H4,H4,H4,H15,G14,G5,G5,B26,,,B26,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,B26,,,B26,G5,A20,H4,H4,H4,H4,H15,G14,G5,G5,B26,,,B26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,B26,,,B26,G5,A20,H4,H4,H4,H4,H15,G14,G5,G5,B26,,,B26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,B26,,,B26,G5,A20,H4,H4,H4,H4,H15,G14,G5,G5,B26,,,B26,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A20,B26,,,B26,G5,A20,H4,H4,H4,H4,H15,G14,G5,G5,B26,,,B26,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A26,B26,,,B26,A20,A20,H4,H4,H4,H4,H15,G14,G5,G5,B26,,,B26,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A26,B26,,,A20,A20,A20,H4,H4,M15,H4,H15,G14,G5,G5,G5,,,B26,G6,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A26,A20,B26,B26,A20,A26,A20,H4,H4,M15,H4,H15,G14,G5,G6,A20,B26,B26,A20,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A26,A26,A20,A20,A26,A26,A20,H4,H4,M15,H4,H15,G14,G5,G6,G6,A20,A20,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A20,A26,A26,A26,A26,A26,A20,H4,H4,M15,H4,H15,G14,G5,G6,G6,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,A20,A26,A26,A26,A26,A26,A20,H4,H4,M15,H4,H15,G14,G5,G6,G6,G6,G6,G6,A20,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G6,A26,A26,A26,A26,A20,H4,H4,M15,H4,H15,G14,G5,G6,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,A26,A26,A26,A26,G5,H4,H4,H4,H4,H15,G14,G5,G6,G6,G6,G6,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,,,,G5,G6,A26,A26,A26,G5,H4,H4,H4,H4,H15,G14,G5,G6,G6,G6,G5,G5,,,,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G14,,,G14,G5,A26,A26,A26,G5,H4,H4,H4,H4,H15,G14,G5,G6,G6,G6,G5,B26,,,G14,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,G5,,,,A20,G6,A26,A26,G5,H4,H4,H4,H4,H15,G14,G5,G6,G6,G6,G5,,,,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,G14,,,B26,G6,A26,A26,G5,H4,H4,H4,H4,H15,G14,G5,G6,G6,G5,B26,,,G14,A20,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,A20,B26,,,B26,G5,A26,A26,G5,H4,H4,H4,H4,H15,G14,G5,G6,G6,G5,B26,,,B26,G5,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,B26,,,G14,A20,A26,A26,G5,H4,H4,H4,H4,H15,G14,G5,G6,G6,G5,G14,,,B26,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,B26,,,G14,A20,A26,A26,A20,H4,H4,H4,H15,H15,G14,G5,G6,G6,G5,G8,,,B26,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,B26,,,G14,A20,A26,A26,A20,H4,H4,H4,H15,H15,G14,G5,G6,G6,G5,G8,,,B26,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,A20,G6,B26,,,B26,G5,A26,A26,A20,H4,H4,H4,H15,H15,G14,G5,G6,G6,G5,G14,,,B26,G6,A20,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G6,A20,G8,,G5,G5,A26,A26,A20,H4,H4,H4,H4,H15,G14,G5,G6,G6,G5,B26,,G8,G5,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G6,G5,A20,A20,A20,A26,A26,A26,A20,H4,H4,M15,H4,H4,G14,G5,G6,G6,G6,A20,G5,G5,G5,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G6,G6,G5,G5,G6,A26,A26,G6,G5,H4,H4,M15,H4,H4,H4,G5,G6,G6,G6,G6,G5,G5,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G6,G6,G6,G6,A26,A26,A26,G5,B26,H15,H4,M15,H4,H4,H15,B26,G6,G6,G6,G6,G6,G6,G6,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,G5,G6,G6,G6,G6,G6,A26,G6,A20,M15,H15,H15,G8,M15,H4,H15,G14,G5,G6,G6,G6,G6,G5,G6,G6,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,G6,A20,B26,A20,G5,G5,B26,H15,H15,H4,F15,G8,H15,H4,H4,G5,G5,G5,A20,G5,G5,G6,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G6,G5,G14,M15,G14,B26,H4,H15,H15,G8,F15,F15,M15,H4,H15,G14,B26,B26,G14,B26,G5,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G5,H4,H15,H15,H15,H4,H4,F15,F15,F15,G8,H15,H4,H15,H4,H15,H4,G5,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,G5,G5,G5,G14,H15,H15,H4,H4,H15,M15,G8,G8,H4,H15,H4,H4,H15,H15,G14,G5,G5,G5,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G5,G5,G14,M15,H15,H15,H4,H15,H15,H4,H4,H4,H15,H4,M15,G14,G5,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G5,G5,A20,B26,H4,H15,H4,H4,H4,H4,H15,M15,B26,A20,G5,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G5,G6,G5,B26,H4,H4,H4,H4,H15,M15,G5,G5,G5,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G6,G6,G5,G14,H4,H4,H4,H15,B26,G5,G6,G5,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,B26,,,G5,G5,G6,G6,B26,H15,H4,H4,H15,B26,G6,G6,G5,G5,,,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,B26,,G14,G5,G6,G6,B26,H15,M15,H4,H4,G5,G6,G5,G5,G8,,B26,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G5,G14,,G5,G5,G6,B26,H15,M15,H4,H4,G5,G6,G5,B26,,B26,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,B26,,B26,G5,G6,B26,H15,M15,H4,H4,G5,G6,G5,B26,,B26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G8,B26,G5,G6,G5,H15,M15,H4,H4,A20,G6,G5,B26,G8,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G5,G5,G6,G5,H4,M15,H4,H4,A20,G6,G5,G5,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G6,G5,G5,G5,G6,B26,H15,M15,H4,H4,G5,G6,G5,G5,G5,G6,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,G5,G6,G5,G6,G5,B26,H15,M15,M15,H15,B26,G6,G6,G5,G6,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,A20,M15,H15,M15,M15,H15,G14,G5,G5,G6,G5,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,G5,G6,G6,G5,B26,H15,M15,M15,H15,B26,G5,G6,G5,G5,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,G5,G6,G6,G5,H4,H4,H4,M15,G5,G5,G6,G5,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,G5,G6,G5,G14,H4,H4,B26,G5,G5,G5,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8,A20,G6,G5,H4,H4,G5,G5,G5,G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14,A20,A26,B26,B26,G5,G5,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A20,A20,A20,A20,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,A26,A20,B26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B26,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
